title,price,url
100% Dark Hot Chocolate Flakes,Sale price£9.95,/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,Sale price£32.00,/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,Sale price£32.00,/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,Sale price£8.75,/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,Sale price£8.75,/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,Sale price£9.95,/products/70-dark-hot-chocolate-flakes
Almost Perfect,Sale priceFrom £2.00,/products/almost-perfect
Assorted Chocolate Malt Balls,Sale price£9.00,/products/assorted-chocolate-malt-balls
Blonde Caramel,Sale price£5.00,/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,Sale price£8.50,/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,Sale price£9.00,/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,Sale price£19.95,/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,Sale price£9.95,/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,Sale price£17.50,/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,Sale price£17.50,/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,Sale price£5.00,/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,Sale price£5.00,/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,Sale price£8.95,/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,Sale price£55.00,/products/celebration-hamper
Christmas Cracker,Sale price£5.00,/products/christmas-cracker-chocolate-bar
Cinnamon Toast,Sale price£5.00,/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,Sale price£30.00,/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,Sale price£5.00,/products/colombian-dark-chocolate-bar
Crunchy Biscuit,Sale price£5.00,/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,Sale price£8.95,/products/dark-chocolate-ginger
Dark Chocolate Honeycomb - Bag,Sale price£8.50,/products/dark-chocolate-honeycomb
Dark Chocolate Honeycomb Egg & Honeycomb (Large),Sale price£25.00,/products/hokey-pokey-large-wicked-egg-honeycomb
